Número inscripción,,Denominación social,,
4655,,"JANLA, S.L.",,
3833,,"BPG COORDINADORES DE SEGURIDAD, S.L.",,
,,,,
3920,,"CONSTRUCCIONES ETXEBERRIA ALONSO, S.L.",,
4221,,"MPM PAISAJISTAS, S.L.U.",,
4640,,ELECNET S. COOP. PEQUEÑA,,
3777,,"URRATEGI ETXEGINTZA, S.L.",,
4498,,"MONTAJES ELECTRICOS NERVIÓN, S.A.U.",,
3745,,"XENDA, GESTIÓN INTEGRAL DE SERVICIOS, S.L.",,
3748,,"ZENTA21 PROYECTOS Y EQUIPAMIENTOS, S.L.",,
4438,,"ISSO, S.A.",,
4248,,"INGETEAM INDUSTRY, S.A.",,
2695,,"NERVIÓN CLIMA, S.L.",,
3783,,"SIEMENS HEALTHCARE, S.L.",,
4004,,"ACUNTIA, S.A.",,
4306,,BK SISTEMAS Y DESARROLLOS DEL MUEBLE,,
4644,,FUNDACIÓN TECNALIA RESEARCH & INNOVATION,,
4454,,"AGUSTIN DOMINGUEZ RODRIGUEZ, S.L.",,
3999,,"SAN MARTÍN IMPRESIÓN DIGITAL, S.L.U.",,
3923,,RESTAURACIONES AZKOITIA S.L.,,
4341,,"BRAINPHARMA, S.L.",,
3639,,PAGOBERRI S.L.,,
3910,,SOPORTES Y PRODUCCIONES INTEGRALES S.L.,,
2685,,"EUROSERVICIOS Y OBRAS FORESTALES, S.A.",,
2992,,"SALVALIM, S.L.",,
3854,,"GURBISA SERVICIOS AUXILIARES, S.L.",,
3767,,"VITRO, S.A.",,
4686,,"MEDLINE INTERNATIONAL IBERIA, S.L.",,
,,,,
3962,,"HACHE DOS O 2007, S.L.U.",,
3859,,"SANATORIO DE USURBIL, S.L.",,
3973,,"V.G. OBRAS Y SERVICIOS, S.L.",,
3722,,"CONSTRUCCIONES AIKAR ANAIAK, S.L.",,
4431,,"OBERTHUR TECHNOLOGIES IBÉRICA, S.A.U.",,
3724,,"MANTINAIR MANTENIMIENTO INTEGRAL, S.L.",,
5526,,"LIZELAN, S.L.",,
3612,,"CONSULTORIA Y COMUNICACIONES DEL PAIS VASCO, S.L.",,
