Número inscripción,,Denominación social,,
3341,,"ORION REPARACIÓN ESTRUCTURAL, S.L.",,
3544,,"SUMINISTROS MEDICO QUIRURGICOS, S.A.",,
3495,,"PROMOCIONES ERBINOR, S.L.",,
3507,,"YEREGUI DESARROLLO, S.L.",,
,,,,
3274,,"CONSTRUCCIONES GAUZA, S.A.",,
4577,,"BINOVO IT HUMAN PROJETC, S.L.",,
3839,,"GRUAS GARRO, S.L.",,
3802,,"EMOCIONA SOLUCIONES CREATIVAS, S.L.L.",,
3383,,"VARIAN MEDICAL SYSTEMS IBÉRICA, S.L.",,
3826,,"JANSSEN CILAG, S.A.",,
3388,,"AFER SERVICIO Y MANTENIMIENTO, S.A.",,
3203,,"BIDEAN TA KALEAN, S.L.",,
4502,,"MERCATEC, INVESTIGACIÓN ESTRATÉGICA, S.L.",,
3237,,"LAUSA, S.A. SERVICIOS Y PROYECTOS",,
3264,,"INMENMAR, S.L.",,
3276,,"IPACE, PSICOLOGÍA APLICADA, S.L.",,
5489,,LOCALIDATA S.L.,,
5402,,"DELFÍN PROMOCIONES Y MARKETING, S.L.",,
5445,,CONSTRUCCIONES ONETAN SL,,
5409,,"LIMPIEZAS EN UN DOS POR TRES, S.L.",,
5380,,Ruben de Miguel Arquitectos S.L.P,,
5716,,"THINK ON MARKETING, S.COOP. PEQUEÑA",,
4996,,"ZORRAQUINO COMUNICACIÓN, S.L.",,
5693,,"JOBBE ETT EVOLUS, S.L.U.",,
5078,,"VAFORJ CONSTRUCCIONES Y REFORMAS, S.L.",,
7309,,"VILELA ELECTRICIDAD, S.L.",,
5726,,"TALIO SOLUTIONS, S.L.",,
8061,,"IDEABLE SOLUTIONS, S.L.",,
5357,,AGAL MOTOR COMERCIAL S.L.,,
,,,,
3814,,"CAF TURNKEY & ENGINEERING, S.L.",,
5607,,CREATIVIDAD Y TECNOLOGÍA S.A.,,
5301,,"GRUPO NC AUDITORES Y ASESORES DE NEGOCIOS, S.L.",,
5626,,INSTALACIONES DE CALEFACCIÓN MEDI S.L.U,,
5279,,ARDITURRI BIDANIA S.L.,,
5101,,MARIA VIRGINIA ORIÑUELA FERNÁNDEZ,,
5346,,"ALLUITZ MOTOR, S.L.",,
5633,,VIATORPLUSULTRA S.L.,,
5568,,"LINET IBERIA, S.L.",,
4764,,"VALORIZACIÓN Y TRATAMIENTO DE RESIDUOS, S.A.",,
4916,,ALAU JARDINERIA S.L.,,
5770,,POOLSPORT SOLUCIONES SOCIEDAD LIMITADA,,
4963,,"LAUDIO MOTOR, S.A.",,
5662,,TREBEKI COMBINING EFFORTS S.L.,,
5508,,JOSE FRANCISCO ALVAREZ CORREA,,
5682,,"""SOZIOLINGUISTIKA KLUSTERRA"" SOZIOLINGUISTIKA EZAGUTZA GARATZEKO KLUSTERRA",,
5253,,IMPRESION TECNIGRAF S.L.L.,,
3838,,"TAKEDA FARMACÉUTICA ESPAÑA, S.A.",,
4650,,"APRENDIZA CONSULTORES, S.L.",,
3683,,"LANDABE INGENIERÍA, S.L.",,
5066,,AERLAN SERVICIOS SL,,
4770,,"BIDENET, S.L.",,
4802,,"TXIMISTXHARRI, S.L.",,
4772,,"DERBUKA, S.A.",,
4594,,"CUBIERTAS OLI-CER, S.L.",,
,,,,
4546,,"MONTAJES EZKUR, S.L.",,
3279,,ALAIKI ZERBITZU GIZAKULTURALAK S.L.,,
4742,,"URKIE 76, S.L.",,
5374,,"SERUNION, S.A.",,
4275,,"AIDAZU AUDIOVISUALES, S.L.",,
4609,,"DIKE SYSTEM, S.L.",,
4940,,"MANPEL, S.L.",,
4888,,"COPIADORAS INDAUTXU, S.A.L.",,
4755,,JUAN CARLOS LINARES VILLALAIN,,
4538,,"DGM DE ARQUITECTOS, S.L.P.",,
4725,,"LIMPIEZAS DE LA MANCOMUNIDAD DE LA LLANADA, S.L.",,
4760,,PEDRO MARÍA ABANDO EGUSQUIZA,,
4297,,"LUCAS ARANDIA, S.L.",,
4647,,"TOUR LOGÍSTICA Y DISTRIBUCIÓN, S.L.",,
4712,,"GARBI RECYCLING, S.L.",,
5384,,MKM INTERNACIONAL BUSINESS CONSULTING S.L.,,
4497,,"GILEAD SCIENCES, S.L.",,
4283,,"EUSKADI DIGITAL MULTIMEDIA, S.L.",,
4552,,"ANTARES CONSULTING, S.A.",,
4951,,"GRÁFICAS IRUDI, S.L.",,
4874,,"AQUAGEST PROMOCIÓN TÉCNICA Y FINANCIERA DE ABASTECIMIENTOS DE AGUA, S.A.",,
4781,,"CENTRO MEDICO URBIETA, S.L.",,
4545,,"ACTIVA INGENIEROS, S.L.",,
5538,,"TARTE, KOOP. ELK.",,
2291,,"SGS TECNOS, S.A.",,
,,,,
3586,,"MONTAJES GARRA, S.L.",,
5190,,"UR GARDENA, S.L.",,
4612,,"GARBIZER, S.L.",,
6055,,CLYMAGRUP JCT SL,,
6571,,"NUEVO SISTEMA MODULAR, S.L.",,
6165,,SOLUCIONES ELÉCTRICAS Y ENERGÉTICAS NORTE S.L.,,
6459,,"ESTUDIOS URIARTE, S.L.",,
6095,,MARIA EUGENIA DIEZ GONZALEZ,,
6754,,"IKUSTEN SERVICIOS AUDIOVISUALES, S.L.",,
6503,,"ELECTRICIDAD URREZABAL, S.L.",,
6444,,CARMELO FERNÁNDEZ LEÓN,,
6219,,AURTENETXEA S.A.,,
6768,,"SISTEMAS Y VEHÍCULOS DE ALTA TECNOLOGÍA, S.A.",,
6277,,"PREVENOR, S.L.",,
2335,,"INGENIERÍA TELCO, S.L.L.",,
6489,,"OLMOS FORESTAL, S.L.",,
6443,,OLATZ IÑIGO UGALDE,,
6312,,IÑAKI ARANA ALBENIZ,,
7110,,"INSTALACIONES ELÉCTRICAS ULMEIN, S.L.",,
6392,,VALENTÍN GÓMEZ JUEZ,,
6106,,ABRAHAM ESTEVE TÉBAR,,
6286,,ARGIBIDE S.COOP.,,
6373,,"GRAFICAS DOSBI, S. L.",,
6260,,OCR BRANDING S.L.,,
6249,,"HIRUKOTE ERREMENTERIA, S.L.",,
,,,,
8087,,JOSE ANGEL DELGADO MORO,,
6364,,ONTEX ID S.A.,,
6399,,"BIZKAIA TRATAMENDUAK, S.L.",,
6253,,"SOLITIUM NORTE, S.L.U.",,
5898,,ASTAZALDI ARK SLP,,
5743,,"IZAN INTERVENCIÓN FAMILIAR Y COMUNITARIA, S.L.",,
5748,,ANTZIOLA PROYECTOS Y OBRAS SL,,
5829,,FUNDACIÓN VASCA PARA EL FOMENTO DE LA CALIDAD,,
5932,,"CONSTRUCCIONES HERMANOS RIESGO DE ARANDA, S.L.",,
5980,,LAMIKIZ ABOGADOS SCP,,
6562,,"KOPIDIN, S.L.",,
5989,,JOSÉ ANTONIO ORDORICA ORBE,,
5952,,"BILBAO BIZKAIA MUSEOAK, S.L.",,
6572,,RICARDO DOMINGO AMESTOY,,
6720,,FUNDACIÓN INTEGRANDO,,
5964,,ESTEYCO S.A.,,
5763,,"LEYCOLAN, S.A.L.",,
6028,,"ATLAS BUS, S.L.",,
6122,,"KEYLAB MEDICAL, S.L.",,
5720,,"CENTRO CANINO QUINCOCAN, S.L.",,
6243,,SEMÁFORO RUIDO S.L.,,
6126,,MONTAJES IBIO 3 S.L.,,
5951,,JOSE LUIS LARRINAGA GOMEZ,,
5950,,ICE PROFESIONAL SLL,,
5804,,"MONLAB, S.L.",,
,,,,
5721,,"RALTEAM, S.L.",,
5930,,"ZIURTAPEN ETA ZERBITZU ENPRESA, EMPRESA DE CERTIFICACIÓN Y SERVICIOS, IZENPE, SA",,
5907,,"EXPLOTACIONES FORESTALES TRUCIOS, S.L.",,
7439,,"AUTOCENTRO ARMENTIA, S.A.",,
5993,,L&M INGENIEROS S.L.,,
6164,,MURBIDECOR URBANO S.L.,,
5735,,LAUKA Centro de Estudios e Intervenciones Psicológicas S.L.,,
6256,,"EUSKARAZ, KOOP. S.",,
6019,,"SEDENA, S.L.",,
5795,,"SISTEMAS DE OFICINA DE ALAVA, S.A.",,
5954,,SISTEMAS DIDACTICOS DE LABORATORIO S.L.,,
6941,,NUÑO MARDONES FERNÁNDEZ DE VALDERRAMA,,
7055,,IBAUTO 98 SRL,,
7082,,ECHEBARRIA SUMINISTROS S.L.,,
7184,,"WSP SPAIN-APIA, S.A.",,
6965,,"AMALUR ENGINEERING, S.L.",,
6928,,CORTINAS Y DERIVADOS SL,,
7306,,"3D SOCIAL MOVEMENT, S.L.",,
7194,,"LOCIS SIGTECH SOLUCIONES SOSTENIBLES, S.L.L.",,
7101,,"BIDEBARRI ENPLEGU ZENTRUA, S.L.",,
7040,,"AMENTIA SOLUCIONES, S.L.",,
6870,,ORTZADAR FUNDAZIOA - FUNDACION ORTZADAR,,
7008,,DOKUZAIN S.L.U.,,
7142,,"SEICORLAN, S.L.",,
7011,,"La Pau, SCC",,
,,,,
7186,,"AUTO REPARACIONES DEVA, S.L.",,
7267,,"CALERA DE ALZO, S.L.",,
7117,,JON SORALUZE AYERDI,,
6757,,"METRICA CONSULTING, S.L.",,
7954,,"INTERTEK IBERICA SPAIN, S.L.",,
6756,,"GARATEX SERIGRAFICOS, S.L.",,
7279,,"ADRA INGENIERÍA Y GESTIÓN DEL MEDIO, S.L.P.",,
8167,,"COTA CERO ACCESIBILIDAD, S.L.",,
7026,,"DESMA ESTUDIOS AMBIENTALES, S.L.",,
7092,,"TREKU LOGISTICA DEL NORTE, S.L.",,
6959,,"ORMAZABAL MEDIA TENSIÓN, S.L.",,
7093,,LUIS MANUEL PACHECO PEREIRA,,
6864,,"ETL BUREAU AUDITORES, S.L.",,
8468,,RAUL GARCÍA PIÑEIRO,,
6746,,"VALUARTE CONSERVACIÓN DE PATRIMONIO, S.L.",,
6832,,"ALDRO ENERGÍA Y SOLUCIONES, S.L",,
6710,,"ARTETXE GENERAL GROUP, S.L.",,
6591,,"NEUTRO-SON, S.L.",,
6762,,TRES SISTEMAS DE COMUNICACION S.L.,,
5594,,"AGENCIA DE DESARROLLO DEL BIDASOA, S.A.",,
6752,,PEDRO DÍAZ NOYA,,
6957,,"DEKER BUSINESS CONSULTING, S.L.",,
6803,,"YUMA, S. A.",,
6694,,GIPUZKOAKO BERTSOZALE ELKARTEA,,
6759,,AKEN SOCIEDAD COOPERATIVA PEQUEÑA,,
,,,,
6631,,"EUSLAN LANAK ETA ZERBITZUAK, S.L.",,
7661,,"KALAKA, KOOP. ELK. TXIKIA",,
7820,,JAIME ANDRADA VALVERDE,,
7846,,EDUARDO SALVADOR BEASOAIN DE PAULORENA,,
8007,,"ERCAM GENERACION, S.L.",,
7837,,"T. OLABARRI, S.L.",,
6110,,"HONDAKIN, S.L.",,
8041,,"CONTENOR, S.L.",,
7970,,"ALVEX MUSIC, S.L.",,
7974,,"AVIKUSMEDIA, S.L.",,
7990,,"DOTACION Y EQUIPAMIENTO, S.L.",,
4525,,"RECOEX AMIANTO, S.L.",,
7465,,"KROMLETX, Koop. Elk. Txikia",,
7556,,"COPLASEM, S.L.",,
7855,,"INFYDE GLOBAL CONSULTING, S.L.",,
7345,,"LOGISTIUM, SERVICIOS LOGÍSTICOS,  S.A.",,
7718,,"INNOVILAND SOLUTIONS, S.L.",,
7490,,"PME 1910, S.L.",,
7319,,UNAI ARRIETA AIZPURUA,,
7860,,"CERRAMIENTOS INDUSTRIALES CUBERTEC, S.L.",,
7653,,"NASCOR FORMACIÓN, S.L.",,
7446,,"CRAYON SOFTWARE EXPERTS SPAIN, S.L.",,
7558,,"KLÜBER LUBRICATION GMBH IBÉRICA, SOCIEDAD EN COMANDITA",,
7641,,"LITOCLEAN, S.L.",,
7371,,TOTEM SEGURIDAD S.L.,,
,,,,
7386,,"KUME SAFETY, S.L.",,
7550,,MIREN NEKANE CABELLO JORGE,,
7438,,"ASKORA PLUS, S.L.",,
7546,,DYNEFF ESPAÑA S.L.,,
7498,,"DIGITALDOT SERVICIOS INFORMÁTICOS, S.L.",,
8682,,ULMA MEDICAL TECHNOLOGIES S. COOP.,,
8701,,AINHOA MERCADO AZCUENAGA-MARCOS CIARRUSTA LECOSAIS SC,,
8164,,"837 COMUNICACION Y PUBLICIDAD, S.L.",,
8393,,"EUSKO TELECOMUNICACIONES, S.L.",,
8560,,"ENERMETRIK SOLUTIONS, S.L.",,
8643,,"SERVICIOS TOPOGRAFICOS IZARTOP, S.L.L.",,
8803,,"METROLOGIA PESAJE INDUSTRIAL, S.L.",,
8274,,RAFAEL DECORACION SL,,
8820,,"ASESORIA I. GORDOBIL, S.L.",,
8422,,CERIAN SHOWER SOCIEDAD LIMITADA,,
8367,,XABIER BUENECHEA ARAGUES,,
8613,,KOLMAR PINTURA E IMPERMEABILIZACIONES SOCIEDAD LIMITADA,,
8377,,"ARCOVENTI, S.L.",,
8151,,"HAZLAN IRUN, S.L.",,
8304,,"UR NOMADE, S.L.",,
8523,,"THE INSTITUTE FOR HEALTH AND STRATEGY, S.L.",,
8429,,H2B BUSINESS GROUP S. COOP. PEQUEÑA,,
8470,,JAVIER MORCILLO BALLESTEROS,,
8744,,"HIRIS INNOVATION TECHNOLOGIES, S.L.",,
8759,,"OBRAS LO MAS BONITO, S. L.",,
,,,,
8568,,"LURTEK, GESTIÓN Y ESTUDIOS TÉCNICOS, S.L.",,
8301,,"MEDIAPOST SPAIN, S.L.",,
8265,,ENRIQUE RODAL MONTERO,,
8584,,"NUUK TECHNOLOGIES, S.L.",,
8280,,LERA-GARCIA-OTXOANTESANA SCP,,
8138,,"43 NORTH STUDIO, S.L.",,
8740,,"EUSKOPAIN, S.L.",,
8852,,"BERDIN NORTE, S. L.",,
8246,,"INTERNACIONAL DE TRACCIÓN, S.A.",,
8686,,"URBIL ABOKATUAK, S.L.",,
8894,,"SENDO 2020, S.L.",,
8630,,"PINTURAS AROSA, S.C.",,
8261,,"MG90 ARQUITECTOS, S.L.",,
8720,,MARIA CRISTINA ZARRABEITIA PEÑALBA,,
8461,,MARIA TERESA GARCÍA GARCÍA,,
8636,,"CITYPOGRAPHY, S.L.",,
8360,,EDUARDO FERNANDEZ LUENGOS,,
8177,,"CONTAINERS SUSPERREGUI, S.L.",,
8708,,AITOR RODRIGUEZ CORTAZAR,,
8810,,COLEGIO OFICIAL DE INGENIEROS DE TELECOMUNICACIÓN,,
8407,,FRANCISCO JAVIER ALVARO BRAVO,,
8423,,"ALDABE BULEGOA,S.L.",,
8521,,RESIDENCIAL AULAGA S.L.,,
8525,,"UBT COMPLIANCE SERVICES, S.L.",,
8362,,JORDI NIUBÓ UGEDO,,
,,,,
8150,,AINTZANE GOFFARD SEVILLANO,,
8219,,"ZUBIBERRI LUR GESTION, S.L.",,
8397,,IZT KOOP. E.,,
8121,,"GARBINDU LIMPIEZAS Y MANTENIMIENTO, S.L.",,
8223,,MULTILAN AYG S.L.,,
888,,"ACCENTURE, S.L. (Sociedad Unipersonal)",,
6660,,"SINTEI SECURE, S.L.",,
1256,,"AMBYTECNO, S.A.",,
1599,,"FIRMA AMBU, S.L.",,
1378,,"TEKNIMAP ENERGÍA Y MEDIO AMBIENTE, S.L.",,
737,,"GAMA-REPROGRAF LASER, S.A.",,
102,,EDITORIAL ITXAROPENA SA,,
1560,,"INCAFRI, S.A.",,
1960,,"LABORATORIOS BILPER, S.A.",,
1988,,"TELTRAFIC, S.L.",,
3196,,MIKEL ISPIZUA TELLECHEA (ImásG-Instalaciones Técnicas y Deportivas),,
1505,,CARROCERIAS TARAMONA SL,,
604,,"PINTURAS ATENA, S.A.",,
160,,"PROSPEKTIKER, S.A. INSTITUTO EUROPEO DE PROSPECTIVA Y ESTRATEGIA",,
1326,,"S. GALLARDO, S.L.",,
260,,"LLOLEMAR, S.A.",,
994,,"OKETA, S.L.",,
1775,,"SADEKOSA, S.A.",,
1760,,"MONTAJES ELÉCTRICOS SALABERRI, S.A.",,
304,,"FLASH COMPOSITION, S.L.",,
,,,,
1065,,"ALYSAT, S.L.",,
1842,,"IRULEZO, S.L.",,
315,,"IKASTARIES, S.A.",,
564,,"ANTONIO MATACHANA, S.A.",,
982,,"ERNST & YOUNG, S.L.",,
1337,,"CYCASA, CANTERAS Y CONSTRUCCIONES, S.A.",,
242,,"3M ESPAÑA, S.A.",,
1612,,"PROYECCIÓN COMUNICACIÓN Y SERVICIOS, S.L.",,
2083,,ADAXKA ASOCIACIÓN PARA LA ASISTENCIA A LA TERCERA EDAD Y DISCAPACITADOS,,
1480,,"EGUNBIDE, S.L.",,
413,,"LIMPIEZAS GALAXIA, S.L.",,
907,,"OPROCON, S.A.",,
591,,"CEGOS ESPAÑA LEARNING & DEVELOPMENT, S.A.",,
572,,"OTEIC CONSULTING GROUP, S.A.",,
1566,,"CARDIVA, S.L.",,
790,,"EUROSTUDY, S.A.",,
1711,,"LITOGRAFÍA VALVERDE, S.A.L.",,
53,,"CONSTRUCCIONES DOLMEN, S.A.",,
1376,,"GESTIÓN DE MEDIOS, S.A.",,
1420,,"SERIGRAFÍA ARCOSAN, S.A.L.",,
969,,"GAMBRO, S.A.",,
236,,"PUBLICIDAD CATORCE, S.A.",,
1155,,PALMIRO S.A.,,
1120,,"EKAIN ABOKATUAK, S.A.",,
1864,,"CONSTRUCCIONES A.C.R., S.A.",,
,,,,
1685,,"CONSULTORA DE RECURSOS NATURALES, S.L.",,
376,,"SOCIEDAD ESPAÑOLA DE CARBUROS METÁLICOS, S.A.",,
1290,,"TELEFÓNICA, S.A.",,
1772,,"INGENIERÍA Y MONTAJES ELÉCTRICOS ADUNA, S.L.",,
2045,,"TALLERES SALTERAIN, S.L.",,
180,,"ALBERTO ALONSO CALEFACCIÓN, S.A.",,
1368,,"PROSERTEK, S.L.",,
2204,,"LKS INVESTIGACIÓN AVANZADA DE MERCADO Y MARKETING, S.L.",,
1411,,"ENVIRONMENT AND SYSTEMS, S.A.",,
1147,,"J.P.C. INGENIEROS, S.A.L.",,
26,,"VIVIENDAS Y CONTRATAS, S. COOP.",,
1678,,BIDEIN SL,,
1695,,"ARQUITECTURA Y DISEÑO MOBIL-ARTE, S.A.",,
2228,,"SARKIS, S.A.",,
2116,,"STEP, LANGUAGE SERVICES, S.L.",,
1978,,ASOCIACIÓN EN FAVOR DE LA INFANCIA Y LA JUVENTUD IZAN,,
4222,,"SEGUROLA EXCAVACIONES, S.L.",,
2059,,"SIRIMIRI, SERVICIOS SOCIO-CULTURALES, S.L.",,
2062,,"LYT INGENIERÍA TOPOGRÁFICA E INFORMÁTICA, S.L.",,
1984,,"COMERCIAL OFICINAS DEL NORTE, S.A.L.",,
1916,,"BOUREAU-INFO, S.L.",,
595,,UNIVERSIDAD DE LA IGLESIA DE DEUSTO,,
1608,,"PROMOCIONES Y PAVIMENTACIONES BALGORZA, S.A.",,
1755,,"COMPAÑÍA AUXILIAR DE VOLADURAS, S.A. (CAVOSA)",,
1759,,"DAKOCYTOMATION, S.A.U.",,
,,,,
1657,,"ELECTROTÉCNICA DEL URUMEA, S.A.",,
2065,,"CENTRAL FORESTAL, S.A.",,
656,,"AGFA-GEVAERT, S.A.",,
2046,,"BEARINGPOINT BUSINESS CONSULTING ESPAÑA, S.L.",,
2082,,KOROSTEL SL,,
1407,,"CONSTRUCCIONES SAGARMIÑA, S.A.",,
2093,,"SERVIRECORD, S.A.",,
2251,,"CONSTRUCCIONES Y PROMOCIONES NORBERETXEAN, S.L.",,
1851,,"HISPANOMOCIÓN, S.A.",,
1336,,"COINMA, S. COOP.",,
2858,,"GLAXOSMITHKLINE, S.A.",,
3271,,"COMUNICACIÓN AUDIOVISUAL CANAL 6, S.A.",,
3109,,OIHAR KOOP. ELK.,,
3185,,"ARINBUS, S.L.",,
2776,,"INGENIERÍA XXI, S.L.",,
2769,,"SISTEMAS INFORMÁTICOS DESINOR DATA, S.A.",,
2775,,"TRIÁNGULO PUBLICIDAD Y MARKETING, S.A.",,
3150,,"V.H.P.MANTENIMIENTOS IRUN, S.L.",,
3140,,"SERVICIOS INFORMÁTICOS KIFER, S.L.",,
3172,,FUNDACIÓN CANÓNICA AUTÓNOMA EDE,,
2974,,"ENVIANDE GASTEIZ, S.L.",,
3119,,"REHABILITACIONES MATIKO CONSTRUCCIONES, S.L.",,
3117,,"TALLERES ELEZARRE, S.L.",,
2968,,"DEMA SERVICIOS DEPORTIVOS, S.L.",,
3162,,"CONSTRUCCIONES ORALUR, S.L.",,
,,,,
3163,,"GRB VIDEO INDUSTRIAL, S.L.",,
3151,,"AVALON TECNOLOGÍAS DE LA INFORMACIÓN, S.L.",,
2976,,"FONDO FORMACIÓN EUSKADI, S.L.L.",,
2984,,"ATELIER DE CULTURA Y COMUNICACIÓN, S.L.",,
3080,,"ASFALTOS URRETXU, S.A.",,
3075,,"MONTAJES ELÉCTRICOS HERNANI, S.L.",,
3086,,"EUROGAP, S.L.",,
3083,,"USHUAIA CONSULTING, S.L.",,
2745,,"KINSAN ZUMARRAGA, S.A.",,
2738,,"COMERCIO ELECTRÓNICO B2B, 2000, S.A.",,
2952,,"COVIGARDEN, S.L.",,
2943,,"GUREAK OSTALARITZA, S.L.U.",,
2919,,"HERMANOS SAENZ DE SAMANIEGO CONSTRUCCIONES, S.L.",,
6657,,"VIVEROS PAGOLA, S.L.",,
2713,,"URSSA, S. COOP.",,
2852,,"SORLUR CONSULTORES, S.L.",,
717,,ERCISA-AZAFATAS ERCILLA SOCIEDAD ANONIMA,,
2863,,"ANOETA AROSTEGIA, S.L.",,
3222,,"LAENK SERVICIOS EMPRESARIALES, S.L.",,
2894,,"TENSA, S.A.",,
2885,,"DORLET SYSTEMS, S.L.",,
2606,,"DEUSTO SEIDOR, S.A.",,
2697,,IMPRENTA GARCINUÑO SL,,
41,,"IKEI RESEARCH & CONSULTANCY, S.A.",,
2699,,"GABINETE DE ASISTENCIA PSICOLÓGICA Y PEDAGÓGICA DE AMURRIO, S.L.",,
,,,,
2318,,"W.L. GORE Y ASOCIADOS, S.L.",,
2599,,LA PREVISORA- POLICLÍNICA SAN JOSE,,
2420,,WACREES. S.L.,,
2601,,"WIDE WORLD GEOGRAPHIC SERVICES, S.L.",,
2731,,"HISPAVISTA, S.L.",,
2422,,"SCHILLER ESPAÑA, S.A.",,
2408,,"CONSTRUCCIONES Y REHABILITACIONES IÑIGO, S.L.",,
2554,,"T&C UNIDIX , S.L.",,
1284,,VIAJES AMAIA SOCIEDAD ANONIMA,,
1832,,"GRUPO TAPER, S.A.",,
1022,,"KERTAR ARABA, S.L.",,
727,,"FUNGI-MED, S.L.",,
2624,,"GOURMET COMEDORES, S.L.",,
2262,,"C.D. PHARMA, S.A.",,
2590,,"CONSTRUCCIONES Y MINIEXCAVACIONES M. ALFARO, S.L.",,
2617,,"ESLA BALLONTI EXCAVACIONES Y OBRAS, S.A.",,
2167,,"SOCIEDAD COOPERATIVA DE R.L. LARRIALDIAK, S. COOP.",,
2337,,"EUROPEAN VIRTUAL ENGINEERING, S.A.",,
2166,,"ARKIMAS ARQUITECTURA Y URBANISMO, S.A.",,
2583,,"LABORATORIOS PEN, S.A.",,
2399,,"COCA Y SÁNCHEZ ARQUITECTURA, S.L.",,
2543,,JOSÉ RAMÓN GALAPERO HERMOSILLA,,
2593,,JOSÉ IGNACIO ANGUIANO LÓPEZ DE MUNAIN,,
2556,,"BIEFFE MEDITAL, S.A.",,
2501,,"CONSTRUCCIONES VICTOR ALVARO, S.L.",,
,,,,
2513,,"COOPERATIVA ALAVESA DE DEPORTE COALDE, S.COOP. LTDA.",,
2141,,"TELEFÓNICA DE ESPAÑA, S.A. SOCIEDAD UNIPERSONAL",,
2302,,"GUINALDURA, S.L.",,
3699,,"ELECTRICIDAD Y TELECOMUNICACIONES CAMACHO, S.L.",,
3701,,"SCHMITZ U SOEHNE IBERICA, S.L.",,
3805,,"AZKA 2002, S.L.",,
4381,,"INSTALACIONES ELUR, S.L.",,
3762,,"TECNOALAS, S.A.",,
4304,,"QUALIGEN, S.L.",,
4419,,"AMBAR TELECOMUNICACIONES, S.L.",,
4399,,ARTEZ EUSKARA ZERBITZUA KOOP. E.,,
3711,,"SERVEO SERVICIOS AUXILIARES, S.A.",,
3756,,"SERVEO SERVICIOS, S.A.",,
2626,,"ALEGRIA ACTIVITY, S.L.",,
3761,,"CENTIUM EMPRESA CONSTRUCTORA, S.A.",,
4266,,"BEOTIBAR RECYCLING, S.L.",,
3520,,"IQUIMESA SERVICIOS SANITARIOS, S.L.",,
3541,,"PROMOCIONES ITURRIETA, S.A.",,
4015,,"JARDINERÍA LAUBIDE, S.L.",,
3936,,"LANDE, S.A.",,
1565,,"KAENER, S.A.",,
4355,,"CONSTRUCCIONES HUGAR, S.L.",,
4421,,"AMAIBA INGENIERIA DE INSTALACIONES, S.L.",,
4244,,"INDOOR GARDEN, S.L.",,
3535,,"ONE TO ONE MARKETING Y COMUNICACIÓN, SL",,
,,,,
4215,,"PENNY NORTE, S.L.",,
3436,,"TRANSPORTES Y SERVICIOS JOSETXU GALARZA, S.A.",,
4563,,"COMUNICACIÓN INTERACTIVA ADIMEDIA, S.L.",,
4602,,"LÁZARO CONSTRUCCIONES, EXCAVACIONES Y TRANSPORTES, S.L.",,
4432,,"ABCARQUITECTURA MODULAR, S.L.",,
3875,,"GUTI-BUS BIDAIAK, S.L.",,
3392,,"EMPRESA TECNICA DE GESTION DEPORTIVA EMTESPORT, S.L.",,
4595,,"ELEKTRINDAR LAU LAGUNAK, S.L.",,
3434,,"INFORLUR, S.L.",,
3408,,"BANTEC CONSULTORES INICIATIVAS EMPRENDEDORAS, S.L.",,
3780,,"IPARASU PROMOCIÓN Y GESTIÓN, S.L.",,
3631,,"JAAM SOCIEDAD DE ARQUITECTURA, S.L.",,
3601,,"LURLAN 2001, S.L.U.",,
4447,,"KAREX SERVICE GROUP, S.L.",,
3278,,"CONSTRUCCIONES GRAISU, S.L.",,
4448,,"SERVICIO LIGERO DE TRANSPORTE DE PAQUETES 2002, S.L.",,
290,,"ENRIQUE OTADUY, S.L.",,
3591,,"OREBE HEZKUNTZA, S.L.",,
3496,,"INNOVA TELECOM NETWORKS, S.L.",,
3792,,"CONSTRUCCIONES Y REFORMAS GORLIZ, S.L.",,
3048,,"BIOGEN IDEC IBERIA, S.L.",,
3755,,"GRANDE ARMEE CONSEIL ESPAÑA, S.L.",,
2983,,"XABIDE GESTIÓN CULTURAL, S.L.",,
3581,,"SMART MEDICAL, S.L.",,
3430,,MARSH S.A. MEDIADORES DE SEGUROS,,
,,,,
3516,,"ASESORAMIENTO EN PROCEDIMIENTO SANCIONADOR, S.L.",,
3332,,"MONTAI PRODUKZIOAK, S.L.",,
4541,,"DIEZ INGENIERIA E INSTALACIONES, S.L.",,
1516,,"CONSTRUCCIONES BARACONS, S.L.",,
3441,,"ABALTZISKETA LOGIKA, S.L.",,
3524,,"AIKOX INFORMATICA Y PUBLICIDAD, S. COOP.",,
3275,,NIDEC. S.L.,,
3306,,"GARBIKAT, S.L.",,
3277,,"TK ELEVADORES ESPAÑA, S.L.",,
3526,,"LIMPIEZAS INDUSTRIALES URBASA, S.L.",,
3486,,"AIC GESTION DE CAPITAL INTELECTUAL, S.A.",,
4479,,"BIDARTE REFORMAS, S.L.",,
5512,,"AIDEAC CONSULTORES DE COMUNICACION Y MARKETING, S.L.",,
4241,,"LKS BUILDINGENIA, S.L.",,
5103,,"SERLIMAZA, S.L.",,
5123,,"PEÑALVER Y CASTRO, S.L.",,
5147,,CANDIDO IRURETA GURRUCHAGA,,
4977,,"GARAJE SAN MIGUEL DE IURRETA,SL",,
5546,,"EZE BARRIZAR, KOOP. ELK. TXIKIA",,
5661,,"BARD DE ESPAÑA, S.L.",,
5698,,"MICROTOOLS SISTEMAS INFORMÁTICOS, S.A.",,
5040,,"LIMPIEZAS ULIA, S.L.",,
5399,,PREMIATSU S.L.,,
